,index,VariableName,VarLabel,Notes,Code,Value
46,1251,hhincome2,Family income (excludes imputed values),Households with unknown income are categorized as Missing.,3.0,"$30,000 to $50,000"
47,1252,hhincome2,Family income (excludes imputed values),Households with unknown income are categorized as Missing.,4.0,"$50,000 to $75,000"
48,1253,hhincome2,Family income (excludes imputed values),Households with unknown income are categorized as Missing.,5.0,"At least $75,000"
49,1254,hhincome2,Family income (excludes imputed values),Households with unknown income are categorized as Missing.,99.0,Missing
50,1255,hhsupwgt,Household supplement weight,,,
51,1256,hhtenure,Homeownership,,1.0,Homeowner
52,1257,hhtenure,Homeownership,,2.0,Non-homeowner
53,1258,hhtype,Household type,,1.0,Married couple
54,1259,hhtype,Household type,,2.0,Unmarried female-headed family
55,1260,hhtype,Household type,,3.0,Unmarried male-headed family
56,1261,hhtype,Household type,,4.0,Female individual
57,1262,hhtype,Household type,,5.0,Male individual
58,1263,hhtype,Household type,,6.0,Other
59,1271,hmphone,Mobile phone,Excludes households with missing information on mobile phone access.,1.0,Has mobile phone
60,1272,hmphone,Mobile phone,Excludes households with missing information on mobile phone access.,2.0,Does not have mobile phone
61,1273,hmphone,Mobile phone,Excludes households with missing information on mobile phone access.,99.0,Unknown
62,1373,hryear4,Survey year,,,
63,1374,hsmphone,Smartphone,Excludes households with missing information on smartphone access.,1.0,Smartphone
64,1375,hsmphone,Smartphone,Excludes households with missing information on smartphone access.,2.0,Non-smartphone
65,1376,hsmphone,Smartphone,Excludes households with missing information on smartphone access.,3.0,No mobile phone
66,1377,hsmphone,Smartphone,Excludes households with missing information on smartphone access.,99.0,Unknown
67,1378,hsupresp,Supplement respondent - household,,0.0,Nonrespondent
68,1379,hsupresp,Supplement respondent - household,,1.0,Respondent
69,1380,hsupwgtk,Household-level weight (1000s),,,
70,1381,hunbnk,Unbanked,,1.0,Unbanked
71,1382,hunbnk,Unbanked,,2.0,Has bank account
72,1487,huse2AFSC,"Nonbank credit product use, past 12 months","Excludes households with not enough information to characterize nonbank credit product use. Nonbank credit product use is based on the following: payday loan, pawn shop loan, rent-to-own service, and refund anticipation loan.",1.0,Has used
73,1488,huse2AFSC,"Nonbank credit product use, past 12 months","Excludes households with not enough information to characterize nonbank credit product use. Nonbank credit product use is based on the following: payday loan, pawn shop loan, rent-to-own service, and refund anticipation loan.",2.0,Has not used
74,1489,huse2AFSC,"Nonbank credit product use, past 12 months","Excludes households with not enough information to characterize nonbank credit product use. Nonbank credit product use is based on the following: payday loan, pawn shop loan, rent-to-own service, and refund anticipation loan.",99.0,Unknown
75,1493,huse2afsnbr,"Number of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize number of nonbank transaction and credit products used. Number of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",0.0,Did not use
76,1494,huse2afsnbr,"Number of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize number of nonbank transaction and credit products used. Number of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",1.0,Used 1
77,1495,huse2afsnbr,"Number of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize number of nonbank transaction and credit products used. Number of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",2.0,Used 2
78,1496,huse2afsnbr,"Number of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize number of nonbank transaction and credit products used. Number of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",3.0,Used 3 or more
79,1497,huse2afsnbr,"Number of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize number of nonbank transaction and credit products used. Number of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",99.0,Unknown
80,1503,huse2AFSTv1,"Nonbank transaction product use, past 12 months",Excludes households with not enough information to characterize nonbank transaction product use. Nonbank transaction product use is based on the following: check cashing and money order.,1.0,Has used
81,1504,huse2AFSTv1,"Nonbank transaction product use, past 12 months",Excludes households with not enough information to characterize nonbank transaction product use. Nonbank transaction product use is based on the following: check cashing and money order.,2.0,Has not used
82,1505,huse2AFSTv1,"Nonbank transaction product use, past 12 months",Excludes households with not enough information to characterize nonbank transaction product use. Nonbank transaction product use is based on the following: check cashing and money order.,99.0,Unknown
83,1521,huse2afstype,"Type of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",1.0,Nonbank transaction only
84,1522,huse2afstype,"Type of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",2.0,Nonbank transaction and credit
85,1523,huse2afstype,"Type of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",3.0,Nonbank credit only
86,1524,huse2afstype,"Type of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",4.0,Did not use
87,1525,huse2afstype,"Type of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",98.0,"Nonbank products used, type unknown"
88,1526,huse2afstype,"Type of nonbank transaction and credit products used, past 12 months","Excludes households with not enough information to characterize type of nonbank transaction and credit products used. Type of nonbank transaction and credit products used is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",99.0,Use unknown
89,1527,huse2AFSv2,"Nonbank transaction and credit product use, past 12 months","Excludes households with not enough information to characterize nonbank transaction and credit product use. Nonbank transaction and credit product use is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",1.0,Has used
90,1528,huse2AFSv2,"Nonbank transaction and credit product use, past 12 months","Excludes households with not enough information to characterize nonbank transaction and credit product use. Nonbank transaction and credit product use is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",2.0,Has not used
91,1529,huse2AFSv2,"Nonbank transaction and credit product use, past 12 months","Excludes households with not enough information to characterize nonbank transaction and credit product use. Nonbank transaction and credit product use is based on the following: check cashing, money order, remittance, payday loan, rent-to-own service, pawn shop loan, and refund anticipation loan.",99.0,Unknown
92,1811,occurnum,Person identifier,,,
93,1812,pagegrp,Age group,,1.0,15 to 24 years
94,1813,pagegrp,Age group,,2.0,25 to 34 years
95,1814,pagegrp,Age group,,3.0,35 to 44 years
96,1815,pagegrp,Age group,,4.0,45 to 54 years
97,1816,pagegrp,Age group,,5.0,55 to 64 years
98,1817,pagegrp,Age group,,6.0,65 years or more
99,1818,pdisabl_age25to64,Disability status,,1.0,"Disabled, aged 25 to 64"
100,1819,pdisabl_age25to64,Disability status,,2.0,"Not disabled, aged 25 to 64"
101,1820,pdisabl_age25to64,Disability status,,99.0,Not applicable (not aged 25 to 64)
102,1821,peducgrp,Education,,1.0,No high school diploma
103,1822,peducgrp,Education,,2.0,High school diploma
104,1823,peducgrp,Education,,3.0,Some college
105,1824,peducgrp,Education,,4.0,College degree
106,1825,pempstat,Employment status,,1.0,Employed
107,1826,pempstat,Employment status,,2.0,Unemployed
108,1827,pempstat,Employment status,,3.0,Not in labor force
109,1828,pnativ,Citizenship and place of birth,,1.0,U.S.-born
110,1829,pnativ,Citizenship and place of birth,,2.0,Foreign-born citizen
111,1830,pnativ,Citizenship and place of birth,,3.0,Foreign-born noncitizen
112,1831,pnativ2,Citizenship and place of birth (less detail),,1.0,U.S.-born
113,1832,pnativ2,Citizenship and place of birth (less detail),,2.0,Foreign-born citizen or foreign-born noncitizen
114,1833,praceeth,Race/Ethnicity (previous definition),"Race/Ethnicity (previous definition): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as Other.",1.0,Black
115,1834,praceeth,Race/Ethnicity (previous definition),"Race/Ethnicity (previous definition): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as Other.",2.0,Hispanic
116,1835,praceeth,Race/Ethnicity (previous definition),"Race/Ethnicity (previous definition): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as Other.",3.0,Asian
117,1836,praceeth,Race/Ethnicity (previous definition),"Race/Ethnicity (previous definition): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as Other.",4.0,American Indian or Alaska Native
118,1837,praceeth,Race/Ethnicity (previous definition),"Race/Ethnicity (previous definition): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as Other.",5.0,Native Hawaiian or Other Pacific Islander
119,1838,praceeth,Race/Ethnicity (previous definition),"Race/Ethnicity (previous definition): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as Other.",6.0,White
120,1839,praceeth,Race/Ethnicity (previous definition),"Race/Ethnicity (previous definition): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander (alone or in combination with another race(s)), and the household is not classified into any of the previous categories. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as Other.",7.0,Other
121,1840,praceeth2,"Race/Ethnicity (previous definition, less detail)","Race/Ethnicity (previous definition, less detail): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified as Black or Hispanic. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as other.",1.0,Black
122,1841,praceeth2,"Race/Ethnicity (previous definition, less detail)","Race/Ethnicity (previous definition, less detail): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified as Black or Hispanic. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as other.",2.0,Hispanic
123,1842,praceeth2,"Race/Ethnicity (previous definition, less detail)","Race/Ethnicity (previous definition, less detail): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified as Black or Hispanic. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as other.",3.0,Asian
124,1843,praceeth2,"Race/Ethnicity (previous definition, less detail)","Race/Ethnicity (previous definition, less detail): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified as Black or Hispanic. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as other.",4.0,White
125,1844,praceeth2,"Race/Ethnicity (previous definition, less detail)","Race/Ethnicity (previous definition, less detail): A household is classified as Black if the householder identifies as Black or African American (alone or in combination with another race(s)) regardless of whether the householder also identifies as Hispanic or Latino. A household is classified as Hispanic if the householder identifies as Hispanic or Latino, and the household is not classified as Black. A household is classified as Asian if the householder identifies as Asian (alone or in combination with another race(s)), and the household is not classified as Black or Hispanic. A household is classified as White if the householder identifies as White alone, and the household is not classified as Hispanic. The remaining households are classified as other.",5.0,Other
126,1845,qstnum,Household identifier,,,
127,1860,prtage,Age of householder respondent,,,
128,1861,prpertyp,Type of person record (see codebook for base CPS),,,
129,1862,perrp,Relationship to reference person (see codebook for base CPS),,,
130,1863,hrintsta,Interview status (see codebook for base CPS),,,
131,1921,huse12pp,Used prepaid card in past 12 months,Excludes households with missing information on use of prepaid cards.,1.0,Yes
132,1922,huse12pp,Used prepaid card in past 12 months,Excludes households with missing information on use of prepaid cards.,2.0,No
133,1923,huse12pp,Used prepaid card in past 12 months,Excludes households with missing information on use of prepaid cards.,99.0,Unknown
134,1967,huse12cc,Used nonbank check cashing in past 12 months,Excludes households with missing information on use of check cashing.,1.0,Yes
135,1968,huse12cc,Used nonbank check cashing in past 12 months,Excludes households with missing information on use of check cashing.,2.0,No
136,1969,huse12cc,Used nonbank check cashing in past 12 months,Excludes households with missing information on use of check cashing.,99.0,Unknown
137,1970,huse12mo,Used nonbank money order in past 12 months,Excludes households with missing information on use of money orders.,1.0,Yes
138,1971,huse12mo,Used nonbank money order in past 12 months,Excludes households with missing information on use of money orders.,2.0,No
139,1972,huse12mo,Used nonbank money order in past 12 months,Excludes households with missing information on use of money orders.,99.0,Unknown
140,1973,huse12pdl,Used payday loan in past 12 months,Excludes households with missing information on use of payday loans.,1.0,Yes
141,1974,huse12pdl,Used payday loan in past 12 months,Excludes households with missing information on use of payday loans.,2.0,No
142,1975,huse12pdl,Used payday loan in past 12 months,Excludes households with missing information on use of payday loans.,99.0,Unknown
143,1976,huse12pwn,Used pawn shop loan in past 12 months,Excludes households with missing information on use of pawn shop loans.,1.0,Yes
144,1977,huse12pwn,Used pawn shop loan in past 12 months,Excludes households with missing information on use of pawn shop loans.,2.0,No
145,1978,huse12pwn,Used pawn shop loan in past 12 months,Excludes households with missing information on use of pawn shop loans.,99.0,Unknown
146,1979,huse12ral,Used refund anticipation loan in past 12 months,Excludes households with missing information on use of refund anticipation loans.,1.0,Yes
147,1980,huse12ral,Used refund anticipation loan in past 12 months,Excludes households with missing information on use of refund anticipation loans.,2.0,No
148,1981,huse12ral,Used refund anticipation loan in past 12 months,Excludes households with missing information on use of refund anticipation loans.,99.0,Unknown
149,1982,huse12rto,Used rent-to-own service in past 12 months,Excludes households with missing information on use of rent-to-own services.,1.0,Yes
150,1983,huse12rto,Used rent-to-own service in past 12 months,Excludes households with missing information on use of rent-to-own services.,2.0,No
151,1984,huse12rto,Used rent-to-own service in past 12 months,Excludes households with missing information on use of rent-to-own services.,99.0,Unknown
152,1985,huse12atl,Used auto title loan in past 12 months,Excludes households with missing information on use of auto title loans.,1.0,Yes
153,1986,huse12atl,Used auto title loan in past 12 months,Excludes households with missing information on use of auto title loans.,2.0,No
154,1987,huse12atl,Used auto title loan in past 12 months,Excludes households with missing information on use of auto title loans.,99.0,Unknown
155,1997,huse12rm,Used remittance through nonbank in past 12 months,Excludes households with missing information on use of nonbank remittances.,1.0,Yes
156,1998,huse12rm,Used remittance through nonbank in past 12 months,Excludes households with missing information on use of nonbank remittances.,2.0,No
157,1999,huse12rm,Used remittance through nonbank in past 12 months,Excludes households with missing information on use of nonbank remittances.,99.0,Unknown
158,2099,hcred12cc,"Had Visa, MasterCard, American Express, or Discover credit card in past 12 months","Excludes households with missing information on whether the household had a Visa, MasterCard, American Express, or Discover credit card.",1.0,Yes
159,2100,hcred12cc,"Had Visa, MasterCard, American Express, or Discover credit card in past 12 months","Excludes households with missing information on whether the household had a Visa, MasterCard, American Express, or Discover credit card.",2.0,No
160,2101,hcred12cc,"Had Visa, MasterCard, American Express, or Discover credit card in past 12 months",All households,-1.0,NIU
161,2102,hcred12bnk,Had personal loan or line of credit from bank in past 12 months,Excludes households with missing information on whether the household had a personal loan or line of credit from a bank.,1.0,Yes
162,2103,hcred12bnk,Had personal loan or line of credit from bank in past 12 months,Excludes households with missing information on whether the household had a personal loan or line of credit from a bank.,2.0,No
163,2104,hcred12bnk,Had personal loan or line of credit from bank in past 12 months,All households,-1.0,NIU
164,2108,hcred12ccorbnk,Used bank credit product in past 12 months,"Excludes households with not enough information to characterize whether they used a bank credit product (i.e., a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank).",1.0,Yes
165,2109,hcred12ccorbnk,Used bank credit product in past 12 months,"Excludes households with not enough information to characterize whether they used a bank credit product (i.e., a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank).",2.0,No
166,2110,hcred12ccorbnk,Used bank credit product in past 12 months,All households,-1.0,NIU
167,2111,hcred12newapp,Applied for credit card or personal loan or line of credit from bank in past 12 months,"Excludes households with missing information on whether the household applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from bank.",1.0,Yes
168,2112,hcred12newapp,Applied for credit card or personal loan or line of credit from bank in past 12 months,"Excludes households with missing information on whether the household applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from bank.",2.0,No
169,2113,hcred12newapp,Applied for credit card or personal loan or line of credit from bank in past 12 months,All households,-1.0,NIU
170,2114,hcred12denied,Applied for credit card or personal loan or line of credit from bank in past 12 months and was denied or not given as much credit as requested,"Excludes households with missing information on whether the household applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank and was denied or not given as much credit as requested.",1.0,Yes
171,2115,hcred12denied,Applied for credit card or personal loan or line of credit from bank in past 12 months and was denied or not given as much credit as requested,"Excludes households with missing information on whether the household applied for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank and was denied or not given as much credit as requested.",2.0,No
172,2116,hcred12denied,Applied for credit card or personal loan or line of credit from bank in past 12 months and was denied or not given as much credit as requested,All households,-1.0,NIU
173,2117,hcred12deniedc,"Denied or not given as much credit as requested, among households that had applied for credit card or personal loan or line of credit from bank in past 12 months","Excludes households with missing information on whether the household was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank or not given as much credit as requested.",1.0,Yes
174,2118,hcred12deniedc,"Denied or not given as much credit as requested, among households that had applied for credit card or personal loan or line of credit from bank in past 12 months","Excludes households with missing information on whether the household was denied a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank or not given as much credit as requested.",2.0,No
175,2119,hcred12deniedc,"Denied or not given as much credit as requested, among households that had applied for credit card or personal loan or line of credit from bank in past 12 months",Households that had applied for a credit card or a personal loan or line of credit from bank in past 12 months,-1.0,NIU
176,2120,hcred12discour,Did not apply for credit card or personal loan or line of credit from bank in past 12 months because of concerns about being turned down,"Excludes households with missing information on whether the household did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down",1.0,Yes
177,2121,hcred12discour,Did not apply for credit card or personal loan or line of credit from bank in past 12 months because of concerns about being turned down,"Excludes households with missing information on whether the household did not apply for a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank because of concerns about being turned down",2.0,No
178,2122,hcred12discour,Did not apply for credit card or personal loan or line of credit from bank in past 12 months because of concerns about being turned down,All households,-1.0,NIU
179,2123,hcred12grps,Bank and nonbank credit product use,"Excludes households with missing information on whether the household used one or more bank credit products (i.e., a Visa, MasterCard, American Express, or Discover credit card or a personal loan or line of credit from a bank), used nonbank credit (i.e., a payday loan, pawn shop loan, rent-to-own service, refund anticipation loan, or auto title loan), applied for a bank credit product, was denied a bank credit product or not given as much credit as requested, did not apply for a bank credit product because of concerns about being turned down, or fell behind on bills. Households may have used credit products that were not asked about in the 2015 and 2019 surveys (e.g., mortgages, auto loans, certain nonbank installment loans, and informal loans from family or friends).",1.0,Bank credit only
